lex,antonym
skilled,unskilled
verbal,numerical
coarse,fine
smoky,smokeless
slippery,nonslippery
lubricated,unlubricated
smooth,rough
furrowed,unfurrowed
rifled,unrifled
social,unsocial
accompanied,unaccompanied
gregarious,ungregarious
seamed,seamless
seeded,unseeded
seedy,seedless
shuttered,unshuttered
sleeved,sleeveless
sociable,unsociable
sold,unsold
soled,soleless
solid,liquid
gaseous,solid
hollow,solid
soluble,insoluble
solved,unsolved
some,no
all,some
sophisticated,naive
sound,unsound
effervescent,noneffervescent
sparkling,still
specialized,unspecialized
spinous,spineless
spirited,spiritless
spontaneous,induced
spoken,written
voiced,unvoiced
unwritten,written
vocalic,consonantal
stoppable,unstoppable
syllabic,nonsyllabic
accentual,quantitative
stable,unstable
staccato,legato
staged,unstaged
standard,nonstandard
starchy,starchless
starry,starless
nourished,malnourished
steady,unsteady
stemmed,stemless
stimulating,unstimulating
depressant,stimulative
stomatous,astomatous
crooked,straight
curved,straight
coiled,uncoiled
stressed,unstressed
tonic,atonic
strong,weak
stubborn,docile
insubordinate,subordinate
successful,unsuccessful
sufficient,insufficient
sugary,sugarless
superior,inferior
superjacent,subjacent
superscript,subscript
adscript,superscript
supervised,unsupervised
supported,unsupported
assisted,unassisted
supportive,unsupportive
surmountable,insurmountable
surprised,unsurprised
surprising,unsurprising
susceptible,unsusceptible
impressionable,unimpressionable
exempt,nonexempt
scheduled,unscheduled
sweet,dry
sour,sweet
soured,unsoured
suspected,unsuspected
swept,unswept
sworn,unsworn
